OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2005,140186,140186,ALPHARETTA HWY @ ELKINS RD,,,,,,,
2006,140192,140192,ALPHARETTA HWY@WILLS RD,,,,,,,
2007,140194,140194,ALPHARETTA HWY@WILLS RD,,,,,,,
2334,150064,150064,NORTH POINT PKWY @ GREAT OAKS WAY,,,,,,,
2339,150162,150162,NORTH POINT PKWY@ GREAT OAKS WAY,,,,,,,
2341,150192,150192,NORTH POINT PKWY@GREAT OAKS WAY,,,,,,,
2342,150196,150196,NORTH POINT PKWY@ ROYAL DR,,,,,,,
2343,150204,150204,NORTH POINT PKWY @ ROYAL DR,,,,,,,
2344,150208,150208,NORTH POINT PKWY @ GREAT OAKS WAY (S),,,,,,,
2345,150214,150214,NORTH POINT PKY@ROYAL BLVD S,,,,,,,
2911,190024,190024,S MAIN ST @ 421,,,,,,,
3233,210743,210743,MCGINNIS FERRY RD @ DEERFIELD POINT DR,,,,,,,
3234,210744,210744,MCGINNIS FERRY RD@DEERFIELD POINT D,,,,,,,
3235,210745,210745,WINDWARD CONCOURSE@MCGINNIS FERRY R,,,,,,,
3236,210746,210746,WINDWARD CONCOURSE @ ALDERMAN DR,,,,,,,
3237,210747,210747,WINDWARD CONCOURSE @ ALDERMAN DR,,,,,,,
3238,210748,210748,WINDWARD PLAZA@4025,,,,,,,
3239,210749,210749,WINDWARD PLZ @ 4025,,,,,,,
3240,210750,210750,WINDWARD PKWY@MARCONI DR,,,,,,,
3241,210751,210751,WINDWARD PKWY@MARCONI DR,,,,,,,
3242,210752,210752,WINDWARD PKWY@EDISON DR,,,,,,,
3243,210753,210753,WINDWARD PKWY@EDISON DR,,,,,,,
3244,210757,210757,MORRIS RD @ ONE VERIZON PL,,,,,,,
3245,210758,210758,MORRIS RD@13560,,,,,,,
3273,210825,210825,MORRIS RD@WEBB RD,,,,,,,
3274,210826,210826,DEERFIELD PKWY @ WEBB RD,,,,,,,
3275,210827,210827,MORRIS RD@WEBB RD,,,,,,,
3276,210828,210828,DEERFIELD PKWY @ THREE VERIZON PL,,,,,,,
3277,210829,210829,DEERFIELD PKWY @ TWO VERIZON PL,,,,,,,
3309,210916,210916,WINDWARD PKWY@WINDWARD PLZ,,,,,,,
3310,210917,210917,WINDWARD PKWY@ALDERMAN DR,,,,,,,
3326,210967,210967,ALEXANDER DR @ 4325,,,,,,,
3344,211007,211007,WINDWARD PLZ@4005,,,,,,,
3345,211008,211008,WINDWARD PLZ@3025,,,,,,,
3347,211010,211010,MORRIS RD@13300,,,,,,,
3348,211011,211011,MORRIS RD@13125,,,,,,,
3349,211012,211012,NORTH POINT PKWY@CYPRESS CT,,,,,,,
3350,211013,211013,NORTH POINT PKWY @ CYPRESS CT,,,,,,,
3358,211029,211029,HAYNES BRIDGE RD @ ROCK MILL RD,,,,,,,
3365,211038,211038,WEBB RD@MORRIS RD,,,,,,,
3414,211109,211109,WINDWARD CONCOURSE@1100,,,,,,,
3415,211110,211110,WINDWARD CONCOURSE@1100,,,,,,,
3451,211181,211181,BROOKSIDE PKWY @ ALEXANDER DR,,,,,,,
3646,211551,211551,WINDWARD PKWY @ INNOVATION WAY,,,,,,,
3647,211552,211552,WINDWARD PKWY @ INNOVATION WAY,,,,,,,
3736,211688,211688,OLD MILTON PKY @ S MAIN ST,,,,,,,
3843,211944,211944,ACADEMY ST @ S MAIN ST,,,,,,,
3866,211974,211974,MCGINNIS FERRY RD @ TIDWELL DR,,,,,,,
3867,211975,211975,MCGINNIS FERRY RD @ TIDWELL DR,,,,,,,
3894,212005,212005,HAYNES BRIDGE RD @ OLD MILTON PKWY,,,,,,,
3920,212036,212036,WINDWARD PKY @ NORTH POINT PKY,,,,,,,
3931,212048,212048,DRYDEN RD @ NORTH POINT PKY,,,,,,,
3933,212050,212050,OLD MILTON PKWY @ 2365,,,,,,,
3934,212051,212051,OLD MILTON PKWY @ 2400,,,,,,,
3935,212052,212052,OLD MILTON PKWY @ 2ND ST,,,,,,,
3936,212053,212053,OLD MILTON PKWY @ 2ND ST,,,,,,,
3937,212054,212054,OLD MILTON PKWY @ MORRIS RD,,,,,,,
3938,212055,212055,OLD MILTON PKWY @ MORRIS RD,,,,,,,
3942,212061,212061,OLD MILTON PKWY @ NORTH POINT PKWY,,,,,,,
3946,212065,212065,MCGINNIS FERRY RD @ BETHANY BND,,,,,,,
3947,212066,212066,MORRIS RD @ BETHANY RD,,,,,,,
