X,Y,OBJECTID,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,BSTP_LON,BSTP_LAT,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.6730271959421,39.1914988589589,1,1310679,3003039,14837,PRS,2001/11/14 00:00:00+00,UNK,LIGHT RAIL STATION,BWI AIRPORT,87,MID,ON LAMP POST,BWI AIRPORT + LIGHT RAIL STATION,,KFH,1900/01/01 00:00:00+00,,UNK,UNKW,U,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,,U,U,U,U,U,U,U,U,U,U,U,UNK,,U,U,U,U,U,U,U,U,-76.673025,39.191491,BusStopPt_581,,{FD3DB5B2-FF05-482C-AF82-98B2727951C6},,,,
-76.6689381989305,39.1813288569534,2,1310678,3003038,14836,PRS,2001/11/14 00:00:00+00,UNK,CONCOURSE E,BWI AIRPORT,326,MID,INTERNATIONAL TERMINAL,BWI AIRPORT + PIER E,,KFH,1900/01/01 00:00:00+00,,UNK,UNKW,U,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,,U,U,U,U,U,U,U,U,U,U,U,UNK,,U,U,U,U,U,U,U,U,-76.668936,39.181321,BusStopPt_836,,{E6533895-2DBD-41F0-96F7-AB25E02AC18F},,,,
-76.6717201967361,39.1811738591373,3,1310273,3004114,21576,PRS,2005/06/17 00:00:00+00,UNK,CONCOURSE A AND B,BWI AIRPORT,145,NEA,W OF SW/DELTA BAGGAGE CLAIM,BWI AIRPORT + TERMINAL A,,KFH,1900/01/01 00:00:00+00,,UNK,UNKW,U,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,,U,U,U,U,U,U,U,U,U,U,U,UNK,,U,U,U,U,U,U,U,U,-76.671718,39.181166,BusStopPt_4067,,{C3F331FF-3FD3-4BA3-88F6-2AF34128A5BF},,,,
-77.0594063154373,39.1557318337639,4,1309421,2000989,11551,PRS,1989/09/03 00:00:00+00,UNK,MARKSMAN CIR,SPARTAN RD,220,NEA,UNKNOWN,SPARTAN RD + MARKSMAN CIR,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,4,N,Y,Y,NON,NON,4.30000019,Y,Y,Y,Y,N,Y,Y,N,N,N,N,NPL,150,N,Y,N,Y,U,U,U,U,-77.059404,39.155724,BusStopPt_6692,,{2F7CB856-725C-442A-95FA-69FAEF2AE829},,,,
-77.059539320858,39.1553318353207,5,1309420,2000988,11550,PRS,1989/09/03 00:00:00+00,UNK,LEMAN LAKE DR,SPARTAN RD,23,NEA,UNKNOWN,SPARTAN RD + LEMAN LAKE DR,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,4,N,Y,Y,NON,NON,2.9000001,Y,Y,Y,Y,Y,N,N,Y,N,N,N,NPL,150,N,Y,N,Y,U,U,U,U,-77.059537,39.155324,BusStopPt_6146,,{E24737F8-BA00-40C8-A586-7F65CBEBAD7D},,,,
-76.7246110329414,39.1538992375482,6,1395504,3004352,99999,PRS,2018/06/24 00:00:00+00,REV,ARUNDEL MILLS BEST BUY STORE,ARUNDEL MILLS CIR,270,ATP,125' W OF XWALK,ARUNDEL MILLS CIR + ARUNDEL MILLS BEST BUY STORE,PER,UNK,1901/01/01 00:00:00+00,-9,UNK,UNKW,U,U,U,U,UNK,UNK,UNK,U,U,U,-9,U,U,U,UNK,UNK,-9,U,U,U,U,U,U,U,U,U,U,U,UNK,-9,U,U,U,U,U,U,U,U,-76.841152,39.068531,BusStopPt_8764,,{8A1CA7A7-6D9F-4D09-BB99-BAAFB3875B5F},,,,
-77.0602873186588,39.153107835016,7,1309419,2000987,11549,PRS,1989/09/03 00:00:00+00,UNK,WINDSOR HILL DR,SPARTAN RD,30,NEA,UNKNOWN,SPARTAN RD + WINDSOR HILL DR,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,4,N,Y,Y,NON,NON,3.70000005,N,Y,Y,Y,N,Y,N,Y,N,N,N,NSG,150,N,Y,N,Y,U,U,U,U,-77.060285,39.1531,BusStopPt_6084,,{923BF375-2E2B-4581-BE77-BA28DD07E74D},,,,
-77.0551833191569,39.1530258366616,8,1308950,2001071,12953,PRS,1986/08/31 00:00:00+00,UNK,PRINCE PHILIP DR,MONTGOMERY GENERAL HOSPITAL,85,FAR,IN BUS BAY @ PARKING GARAGE,MONTGOMERY GENERAL HOSPITAL + PRINCE PHILIP DR,,KFH,2012/02/07 00:00:00+00,1,INS,NAPP,N,Y,Y,Y,58U,CON,NON,Y,N,E,5,Y,Y,Y,NON,NON,0.2,N,Y,N,N,N,N,N,N,N,N,N,NSG,80,N,Y,N,N,U,U,U,U,-77.055181,39.153018,BusStopPt_5117,,{9D7A9BA7-39A5-4A8B-BF0B-16CA500C97CF},,,,
-77.0605963199996,39.1530108321496,9,1309418,2000986,11548,PRS,1989/09/03 00:00:00+00,UNK,APPOMATTOX AVE,SPARTAN RD,210,FAR,100' S OF -,SPARTAN RD + APPOMATTOX AVE,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,4,N,Y,Y,NON,NON,5.80000019,Y,N,Y,Y,Y,N,Y,N,N,N,N,NSG,150,N,Y,N,Y,U,U,U,U,-77.060594,39.153003,BusStopPt_7908,,{F7DCB47C-4B2B-4783-853E-061B865DFFC4},,,,
-77.0669673143417,39.1527928348646,10,1309161,2000985,11546,PRS,1975/03/21 00:00:00+00,REV,OLNEY LAYTONSVILLE RD,GEORGIA AVE,176,FAR,"S OF DRWY TO BP GAS STA; @ POLE# 780480",GEORGIA AVE + OLNEY LAYTONSVILLE RD,,KFH,2012/02/06 00:00:00+00,1,INS,NAPP,N,N,Y,Y,58U,CON,NON,Y,Y,N,9,Y,Y,Y,NON,NON,1.60000002,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,150,N,Y,Y,Y,U,U,U,U,-77.066965,39.152785,BusStopPt_4575,,{0E2174A7-F8BD-4D26-BB71-8D87E8184AB2},,,,
